num;nombre;municipio;provincia;potencia;tecnologia;aerogeneradores;potencia_unitaria
225.0;Aerogenerador Experimental I+D G-87;Lubián;ZA;2000;GAMESA;1;2000
226.0;Aerogenerador Experimental I+D G-90;Lubián;ZA;2000;GAMESA;1;2000
162.0;Ágreda;Agreda;SO;18000;ACCIONA;12;1500
153.0;ALBA DE TORMES;Alba de Tormes;SA;4500;MTORRES;3;1500
108.0;Alconada;Ampudia;PA;4500;ACCIONA;3;1500
1.0;ALDEAVIEJA;Stª. Mª del Cubillo y Ojos Albos;AV;14520;GAMESA;22;660
163.0;Aldehuelas;Vizmanos, La Poveda de Soria, Sta. Cruz de Yanguas, Las Aldehuelas, Arévalo de la Sierra;SO;47200;MADE;59;800
164.0;Alentisque;Alentisque;SO;46500;NEG MICON;31;1500
17.0;Alto de la Degollada;Castrojeriz;BU;50000;GAMESA;25;2000
109.0;Alto del Pocillo;Monzón de Campos;PA;4000;MTORRES;2;2000
2.0;ALTOS DE CARTAGENA;Las Navas del Marqués;AV;21120;MADE;32;660
227.0;Ampliación a El Aguallal;Lubián y Pías;ZA;24950;GAMESA;27;850
229.0;Ampliación a La Gamoneda;Lubián y Hermisende;ZA;29750;GAMESA;35;850
3.0;Ampliación Cruz de Hierro;Santa María del Cubillo;AV;6600;GAMESA;4;1650
18.0;Ampliación de los Llanos;Hontoria de la Cantera;BU;20000;GAMESA;10;2000
228.0;AMPLIACIÓN DEL HIERRO;Losacio, Losacino, Carbajales de Alba y Olmillos de Castro;ZA;43200;GAMESA;12;3600
230.0;Ampliación Hedroso-Aciberos;Lubián;ZA;14000;GAMESA;7;2000
19.0;Ampliación Montejo;Valle de Valdebezana;BU;6600;VESTAS;3;2200
231.0;Ampliación Padornelo;Lubián;ZA;18000;GAMESA;9;2000
165.0;Ampliación Sierra del Cortado;Almenar;SO;13500;ACCIONA;9;1500
110.0;AMPLILACIÓN BECERRIL;Becerril de Campos;PA;2000;VESTAS;1;2000
92.0;Anexo a Valdelín;Folgoso de la Ribera;LE;6000;VESTAS;3;2000
111.0;Angostillos;Hornillos de Cerrato y Baltanás;PA;28000;GAMESA;14;2000
93.0;ARGAÑOSO;Santa Colomba de Somoza y Torre del Bierzo;LE;22000;GAMESA;11;2000
20.0;Arroyal;Alfoz de Quintanadueñas;BU;46500;GENERAL ELECTRIC;31;1500
4.0;ÁVILA;Ávila y Tornadizos de Ávila;AV;11880;GAMESA;18;660
21.0;Ballestas;Vallejera y Castrojeriz;BU;41580;GAMESA;12;3465
154.0;Bandeleras;Palacios del Arzobispo y Zamayón;SA;36000;VESTAS;18;2000
112.0;Becerril;Becerril de Campos;PA;6000;VESTAS;3;2000
167.0;Bordecorex Norte;Velamazán, Caltojar y Barca;SO;44350;GAMESA;31;850
22.0;Brulles;Villadiego y Las Hormazas;BU;40000;VESTAS;20;2000
168.0;Bullana;Arcos de Jalón , Almaluez y Medinaceli;SO;38000;GAMESA;19;2000
